NAME,PRICE,PEGI,GENRE,MODE,OS,CPU,GPU,RAM,STORAGE
theHunter: Call of the Wild™,"19,50€",12+,"Adventure, Simulation, Sports","Online Co-op, Single-player",64bit OS - Windows 10,Intel i3-4170,NVIDIA GTX 660 / ATI HD7870 - 1GB VRAM,4 GB RAM,60 GB available space
Hearts of Iron IV,"49,99€",12+,"Simulation, Strategy","Cross-Platform Multiplayer, Single-player",Windows® 10 Home 64 Bit,Intel® Core™ i5 750 | AMD® FX 4300,Nvidia® GeForce™ GTX 470 (1.28GB) | AMD® HD 5850 (1GB) | Intel Iris Xe G7 (Tiger Lake) | AMD® Radeon™ RX Vega 11,4 GB RAM,2 GB available space
Lost Ark,Free To Play,16+,"Action, Adventure, Massively Multiplayer, RPG, Free To Play","MMO, Online Co-op, Online PvP, Single-player",Windows 10 (64-bit only),Intel Core i3 – 10100 AMD Ryzen3 3100,Nvidia Geforce GTX 1050 Ti / AMD Radeon RX 560,16 GB RAM,110 GB available space
Diablo® IV,"49,99€",16+,"Action, RPG","Cross-Platform Multiplayer, Online Co-op, Online PvP, Single-player",64-bit Windows® 10 version 1909 or newer,Intel® Core™ i5-2500K or AMD™ FX-8350,NVIDIA® GeForce® GTX 660 or Intel® Arc™ A380 or AMD Radeon™ R9 280,8 GB RAM,90 GB available space
Microsoft Flight Simulator 2024,"79,99€",N/A,Simulation,"Cross-Platform Multiplayer, Single-player",Windows 10,AMD Ryzen 5 2600X or Intel Core i7-6800K,Radeon RX 5700 or GeForce GTX 970,16 GB RAM,50 GB available space
F1® 25,"59,99€",N/A,"Racing, Simulation, Sports","Cross-Platform Multiplayer, LAN Co-op, LAN PvP, Online Co-op, Online PvP, Shared/Split Screen PvP, Single-player",Windows 10 64-bit Version 21H1 or newer,Intel Core i5-6400 | Core i5-9600k (VR) or AMD Ryzen 3 1200 | Ryzen 5 2600X (VR),NVIDIA GTX 1060 (6GB) | GTX 1660Ti (VR) | RTX 2060 (RT) // AMD RX 570 (8GB) | RX 590 (VR) | 6700XT (RT) // Intel Arc A380 (VR/RT),8 GB RAM,100 GB available space
Guild Wars 2®,Free To Play,12+,"Adventure, Massively Multiplayer, RPG, Free To Play","MMO, Online Co-op, Online PvP",N/A,Intel® i3 3.4 GHz / AMD Athlon x4 3.8 GHz or better,NVIDIA® GeForce® GTX 680 / AMD Radeon HD 7970,8 GB RAM,70 GB available space
Forza Horizon 6,"69,99€",N/A,"Racing, Simulation, Sports","Online Co-op, Online PvP, Single-player",Windows 10 22H2 (version 19045) or higher,Intel i5-8400 OR AMD Ryzen 5 1600,Nvidia GTX 1650 OR AMD RX 6500 XT OR Intel Arc A380 / Arc B390,16 GB RAM,N/A
ICARUS,"33,99€",12+,"Action, Adventure, Simulation","Online Co-op, Single-player",Windows 10 (64-bit versions),Intel i5 8400,Nvidia GTX 1060 6GB,16 GB RAM,70 GB available space
Sons Of The Forest,"28,99€",18+,"Action, Adventure, Indie, Simulation","Online Co-op, Single-player",64-bit Windows 10,INTEL CORE I5-8400 or AMD RYZEN 3 3300X,NVIDIA GeForce GTX 1060 3GB or AMD Radeon RX 570 4GB,12 GB RAM,20 GB available space
